nome_arquivo,imagem,threshold,prompt_fundo,prompt_roupa,clip_fundo,clip_inpainting
img-03-mscoco__fundo_0231__A sunset__th19__A_scientist.jpg,img-03-mscoco,1.9,A sunset,A scientist,0.271240234375,0.1943359375
img-03-mscoco__fundo_0231__The Parthenon in front of the Great Pyramid__th19__A_scientist.jpg,img-03-mscoco,1.9,The Parthenon in front of the Great Pyramid,A scientist,0.2841796875,0.193359375
img-03-mscoco__fundo_0231__The city of London__th19__A_scientist.jpg,img-03-mscoco,1.9,The city of London,A scientist,0.29833984375,0.1910400390625
img-03-mscoco__fundo_0255__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.154541015625,0.3173828125
img-03-mscoco__fundo_0255__A sunset__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,A sunset,A photograph of a knight in shining armor holding a basketball,0.1912841796875,0.289306640625
img-03-mscoco__fundo_0255__The Parthenon in front of the Great Pyramid__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.1729736328125,0.299072265625
img-03-mscoco__fundo_0255__The city of London__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,The city of London,A photograph of a knight in shining armor holding a basketball,0.2012939453125,0.261474609375
img-03-mscoco__fundo_0279__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.15478515625,0.306884765625
img-03-mscoco__fundo_0279__A sunset__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,A sunset,A photograph of a knight in shining armor holding a basketball,0.181640625,0.356201171875
img-03-mscoco__fundo_0279__The Parthenon in front of the Great Pyramid__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.215576171875,0.28125
img-03-mscoco__fundo_0279__The city of London__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,The city of London,A photograph of a knight in shining armor holding a basketball,0.2049560546875,0.26513671875
img-03-mscoco__fundo_0303__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th05__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.1512451171875,0.29052734375
img-03-mscoco__fundo_0303__A sunset__th05__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.5,A sunset,A photograph of a knight in shining armor holding a basketball,0.2083740234375,0.2783203125
img-03-mscoco__fundo_0303__The Parthenon in front of the Great Pyramid__th05__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.5,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.2293701171875,0.285400390625
img-03-mscoco__fundo_0303__The city of London__th05__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.5,The city of London,A photograph of a knight in shining armor holding a basketball,0.2222900390625,0.258544921875
img-03-mscoco__fundo_0327__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th07__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.1512451171875,0.33251953125
img-03-mscoco__fundo_0327__A sunset__th07__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.7,A sunset,A photograph of a knight in shining armor holding a basketball,0.1942138671875,0.318115234375
img-03-mscoco__fundo_0327__The Parthenon in front of the Great Pyramid__th07__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.7,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.2369384765625,0.263671875
img-03-mscoco__fundo_0327__The city of London__th07__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.7,The city of London,A photograph of a knight in shining armor holding a basketball,0.23828125,0.269775390625
img-03-mscoco__fundo_0351__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th09__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.1885986328125,0.252685546875
img-03-mscoco__fundo_0351__A sunset__th09__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.9,A sunset,A photograph of a knight in shining armor holding a basketball,0.2069091796875,0.31396484375
img-03-mscoco__fundo_0351__The Parthenon in front of the Great Pyramid__th09__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.9,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.226318359375,0.230712890625
img-03-mscoco__fundo_0351__The city of London__th09__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.9,The city of London,A photograph of a knight in shining armor holding a basketball,0.214111328125,0.232666015625
img-03-mscoco__fundo_0375__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th11__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.142333984375,0.304931640625
img-03-mscoco__fundo_0375__A sunset__th11__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.1,A sunset,A photograph of a knight in shining armor holding a basketball,0.21142578125,0.294189453125
img-03-mscoco__fundo_0375__The Parthenon in front of the Great Pyramid__th11__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.1,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.2225341796875,0.2919921875
img-03-mscoco__fundo_0375__The city of London__th11__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.1,The city of London,A photograph of a knight in shining armor holding a basketball,0.2388916015625,0.25634765625
img-03-mscoco__fundo_0399__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th13__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.1851806640625,0.28564453125
img-03-mscoco__fundo_0399__A sunset__th13__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.3,A sunset,A photograph of a knight in shining armor holding a basketball,0.2056884765625,0.278564453125
img-03-mscoco__fundo_0399__The Parthenon in front of the Great Pyramid__th13__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.3,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.212646484375,0.277099609375
img-03-mscoco__fundo_0399__The city of London__th13__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.3,The city of London,A photograph of a knight in shining armor holding a basketball,0.2320556640625,0.251220703125
img-03-mscoco__fundo_0423__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th15__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.274658203125,0.34375
img-03-mscoco__fundo_0423__A sunset__th15__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.5,A sunset,A photograph of a knight in shining armor holding a basketball,0.2384033203125,0.3076171875
img-03-mscoco__fundo_0423__The Parthenon in front of the Great Pyramid__th15__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.5,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.2449951171875,0.1854248046875
img-03-mscoco__fundo_0423__The city of London__th15__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.5,The city of London,A photograph of a knight in shining armor holding a basketball,0.263671875,0.1695556640625
img-03-mscoco__fundo_0447__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th17__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.257568359375,0.27978515625
img-03-mscoco__fundo_0447__A sunset__th17__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.7,A sunset,A photograph of a knight in shining armor holding a basketball,0.250244140625,0.321533203125
img-03-mscoco__fundo_0447__The Parthenon in front of the Great Pyramid__th17__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.7,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.249267578125,0.267333984375
img-03-mscoco__fundo_0447__The city of London__th17__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.7,The city of London,A photograph of a knight in shining armor holding a basketball,0.276611328125,0.23876953125
img-03-mscoco__fundo_0471__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th19__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.275390625,0.326416015625
img-03-mscoco__fundo_0471__A sunset__th19__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.9,A sunset,A photograph of a knight in shining armor holding a basketball,0.2607421875,0.26953125
img-03-mscoco__fundo_0471__The Parthenon in front of the Great Pyramid__th19__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.9,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.255859375,0.2467041015625
img-03-mscoco__fundo_0471__The city of London__th19__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,1.9,The city of London,A photograph of a knight in shining armor holding a basketball,0.29296875,0.1453857421875
img-03-mscoco__fundo_0495__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th01__The_Mona_Lisa.jpg,img-03-mscoco,0.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.198974609375,0.254150390625
img-03-mscoco__fundo_0495__A sunset__th01__The_Mona_Lisa.jpg,img-03-mscoco,0.1,A sunset,The Mona Lisa,0.1923828125,0.3076171875
img-03-mscoco__fundo_0495__The Parthenon in front of the Great Pyramid__th01__The_Mona_Lisa.jpg,img-03-mscoco,0.1,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.18603515625,0.313232421875
img-03-mscoco__fundo_0495__The city of London__th01__The_Mona_Lisa.jpg,img-03-mscoco,0.1,The city of London,The Mona Lisa,0.1982421875,0.308349609375
img-03-mscoco__fundo_0519__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th03__The_Mona_Lisa.jpg,img-03-mscoco,0.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.2252197265625,0.297607421875
img-03-mscoco__fundo_0519__A sunset__th03__The_Mona_Lisa.jpg,img-03-mscoco,0.3,A sunset,The Mona Lisa,0.19189453125,0.3115234375
img-03-mscoco__fundo_0519__The Parthenon in front of the Great Pyramid__th03__The_Mona_Lisa.jpg,img-03-mscoco,0.3,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.2364501953125,0.2548828125
img-03-mscoco__fundo_0519__The city of London__th03__The_Mona_Lisa.jpg,img-03-mscoco,0.3,The city of London,The Mona Lisa,0.2421875,0.251953125
img-03-mscoco__fundo_0543__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th05__The_Mona_Lisa.jpg,img-03-mscoco,0.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.190185546875,0.263671875
img-03-mscoco__fundo_0543__A sunset__th05__The_Mona_Lisa.jpg,img-03-mscoco,0.5,A sunset,The Mona Lisa,0.2003173828125,0.259033203125
img-03-mscoco__fundo_0543__The Parthenon in front of the Great Pyramid__th05__The_Mona_Lisa.jpg,img-03-mscoco,0.5,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.257080078125,0.264404296875
img-03-mscoco__fundo_0543__The city of London__th05__The_Mona_Lisa.jpg,img-03-mscoco,0.5,The city of London,The Mona Lisa,0.2379150390625,0.260986328125
img-03-mscoco__fundo_0567__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th07__The_Mona_Lisa.jpg,img-03-mscoco,0.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.25244140625,0.27587890625
img-03-mscoco__fundo_0567__A sunset__th07__The_Mona_Lisa.jpg,img-03-mscoco,0.7,A sunset,The Mona Lisa,0.2110595703125,0.2230224609375
img-03-mscoco__fundo_0567__The Parthenon in front of the Great Pyramid__th07__The_Mona_Lisa.jpg,img-03-mscoco,0.7,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.206787109375,0.2291259765625
img-03-mscoco__fundo_0567__The city of London__th07__The_Mona_Lisa.jpg,img-03-mscoco,0.7,The city of London,The Mona Lisa,0.259521484375,0.26220703125
img-03-mscoco__fundo_0591__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th09__The_Mona_Lisa.jpg,img-03-mscoco,0.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.238525390625,0.26123046875
img-03-mscoco__fundo_0591__A sunset__th09__The_Mona_Lisa.jpg,img-03-mscoco,0.9,A sunset,The Mona Lisa,0.2132568359375,0.2471923828125
img-03-mscoco__fundo_0591__The Parthenon in front of the Great Pyramid__th09__The_Mona_Lisa.jpg,img-03-mscoco,0.9,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.246337890625,0.25537109375
img-03-mscoco__fundo_0591__The city of London__th09__The_Mona_Lisa.jpg,img-03-mscoco,0.9,The city of London,The Mona Lisa,0.2491455078125,0.2041015625
img-03-mscoco__fundo_0615__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th11__The_Mona_Lisa.jpg,img-03-mscoco,1.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.2484130859375,0.2666015625
img-03-mscoco__fundo_0615__A sunset__th11__The_Mona_Lisa.jpg,img-03-mscoco,1.1,A sunset,The Mona Lisa,0.2022705078125,0.22998046875
img-03-mscoco__fundo_0615__The Parthenon in front of the Great Pyramid__th11__The_Mona_Lisa.jpg,img-03-mscoco,1.1,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.251953125,0.24658203125
img-03-mscoco__fundo_0615__The city of London__th11__The_Mona_Lisa.jpg,img-03-mscoco,1.1,The city of London,The Mona Lisa,0.2425537109375,0.2344970703125
img-03-mscoco__fundo_0639__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th13__The_Mona_Lisa.jpg,img-03-mscoco,1.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.21240234375,0.2469482421875
img-03-mscoco__fundo_0639__A sunset__th13__The_Mona_Lisa.jpg,img-03-mscoco,1.3,A sunset,The Mona Lisa,0.1951904296875,0.283447265625
img-03-mscoco__fundo_0639__The Parthenon in front of the Great Pyramid__th13__The_Mona_Lisa.jpg,img-03-mscoco,1.3,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.2340087890625,0.2435302734375
img-03-mscoco__fundo_0639__The city of London__th13__The_Mona_Lisa.jpg,img-03-mscoco,1.3,The city of London,The Mona Lisa,0.239990234375,0.249267578125
img-03-mscoco__fundo_0663__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th15__The_Mona_Lisa.jpg,img-03-mscoco,1.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.28466796875,0.281494140625
img-03-mscoco__fundo_0663__A sunset__th15__The_Mona_Lisa.jpg,img-03-mscoco,1.5,A sunset,The Mona Lisa,0.263427734375,0.2357177734375
img-03-mscoco__fundo_0663__The Parthenon in front of the Great Pyramid__th15__The_Mona_Lisa.jpg,img-03-mscoco,1.5,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.244873046875,0.2298583984375
img-03-mscoco__fundo_0663__The city of London__th15__The_Mona_Lisa.jpg,img-03-mscoco,1.5,The city of London,The Mona Lisa,0.2457275390625,0.20947265625
img-03-mscoco__fundo_0687__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th17__The_Mona_Lisa.jpg,img-03-mscoco,1.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",The Mona Lisa,0.318359375,0.29150390625
img-03-mscoco__fundo_0687__A sunset__th17__The_Mona_Lisa.jpg,img-03-mscoco,1.7,A sunset,The Mona Lisa,0.259033203125,0.2529296875
img-03-mscoco__fundo_0687__The Parthenon in front of the Great Pyramid__th17__The_Mona_Lisa.jpg,img-03-mscoco,1.7,The Parthenon in front of the Great Pyramid,The Mona Lisa,0.2486572265625,0.234619140625
img-03-mscoco__fundo_0687__The city of London__th17__The_Mona_Lisa.jpg,img-03-mscoco,1.7,The city of London,The Mona Lisa,0.270263671875,0.220703125
